rank,purchaser_name_raw,total_amount_inr,total_amount_cr,bond_count,pct_of_corporate_value,cumulative_pct_of_corporate,classification_rule_hit,source_file,source_sha256
127,ULTRA TECH CEMENT LIMITED,150000000,15.0000,24,0.1309,78.4317,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
128,MISRILALL MINES PVT LTD,150000000,15.0000,15,0.1309,78.5627,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
129,INORBIT MALLS  INDIA  PRIVATE LIMIT,150000000,15.0000,15,0.1309,78.6936,substring:PRIVATE,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
130,ALKEM LABORATORIES LIMITED,150000000,15.0000,15,0.1309,78.8245,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
131,DLF GARDEN CITY INDORE PVT LTD,150000000,15.0000,15,0.1309,78.9555,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
132,AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),150000000,15.0000,15,0.1309,79.0864,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
133,MY HOME INFRASTRUCTURES  PRIVATE LI,150000000,15.0000,15,0.1309,79.2173,substring:PRIVATE,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
134,AQUA SPACE DEVELOPERS PRIVATE LIMIT,150000000,15.0000,15,0.1309,79.3483,substring:PRIVATE,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
135,EUGIA PHARMA SPECIALITIES LIMITED,150000000,15.0000,15,0.1309,79.4792,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
136,TERACON BUILDTECH LLP,150000000,15.0000,15,0.1309,79.6101,substring:LLP,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
137,ABHINANDANSTOCKBROKINGPVTLTD,147000000,14.7000,48,0.1283,79.7384,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
138,SHRI JAGANNATH STEELS & POWER LTD,145000000,14.5000,46,0.1266,79.8650,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
139,WELSPUN CORP LTD,140000000,14.0000,14,0.1222,79.9872,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
140,JK LAKSHMI CEMENT LIMITED,140000000,14.0000,23,0.1222,80.1094,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
141,MYTRAH ENERGY INDIA PRIVATE LIMITED,140000000,14.0000,14,0.1222,80.2316,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
142,IPCA LABORATORIES LIMITED,135000000,13.5000,27,0.1178,80.3494,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
143,MODERN ROAD MAKERS PVT LTD,130000000,13.0000,13,0.1135,80.4629,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
144,WELSPUN ENTERPRISES LTD,130000000,13.0000,13,0.1135,80.5764,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
145,SANDHYA  CONSTRUCTIONS & ESTATES PRIVATE  LIMITED,130000000,13.0000,13,0.1135,80.6899,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
146,WELSPUN CORP LIMITED,130000000,13.0000,13,0.1135,80.8033,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
147,HIMALAYAN ENDEAVOUR PVT LTD,129000000,12.9000,66,0.1126,80.9159,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
148,HAZELO LAB PRIVATE LTD,125000000,12.5000,17,0.1091,81.0250,substring:PRIVATE,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
149,HINDYS LAB PRIVATE LTD,125000000,12.5000,17,0.1091,81.1342,substring:PRIVATE,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
150,GUJARAT FLUORO CHEMICALS LIMITED,120000000,12.0000,12,0.1047,81.2389,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
151,BHARTI INFRATEL LIMITED,120000000,12.0000,12,0.1047,81.3436,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
152,TALENTO TECHNICAL PLANT SERVICES PVT LTD,120000000,12.0000,12,0.1047,81.4484,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
153,NATCO PHARMA LIMITED,120000000,12.0000,12,0.1047,81.5531,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
154,SATEC ENVIR ENGINEERING (I) PVT LTD,120000000,12.0000,21,0.1047,81.6579,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
155,SUN PHARMA LABORATORIES LTD,115000000,11.5000,16,0.1004,81.7583,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
156,HERALD BEVERAGES PRIVATE LIMITED,115000000,11.5000,16,0.1004,81.8586,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
157,BENGAL COKE COMPANY LIMITED,113210000,11.3210,17,0.0988,81.9575,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
158,REAL TECHNICAL SOLUTIONS PVT LTD,110000000,11.0000,11,0.0960,82.0535,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
159,KEC INTERNATIONAL LIMITED,110000000,11.0000,11,0.0960,82.1495,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
160,INTERGLOBE AIR TRANSPORT LIMITED,110000000,11.0000,11,0.0960,82.2455,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
161,JAI BHARAT TECHNICAL SERVICES PVT LTD,105000000,10.5000,15,0.0917,82.3372,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
162,JWIL INFRA LTD. (FORM. JITF WATER,105000000,10.5000,15,0.0917,82.4288,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
163,MONALISA BOTTLING INDUSTRIES PVT LTD,101500000,10.1500,70,0.0886,82.5174,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
164,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,100000000,10.0000,10,0.0873,82.6047,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
165,PIRAMAL ENTERPRISES LTD,100000000,10.0000,10,0.0873,82.6920,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
166,PEGASUS PROPERTIES PVT LTD,100000000,10.0000,19,0.0873,82.7793,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
167,BAJAJ HOLDINGS & INVESTMENT LIMITED,100000000,10.0000,10,0.0873,82.8666,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
168,BRIGHT STAR INVESTMENTS PVT.LTD,100000000,10.0000,10,0.0873,82.9538,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
169,INFOTELTECHNOLOGIESPRIVATELIMITE,100000000,10.0000,10,0.0873,83.0411,substring:PRIVATE,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
170,ATHENA INFRASTRUCTURE LIMITED,100000000,10.0000,10,0.0873,83.1284,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
171,ENAM HOLDINGS PRIVATE LIMITED,100000000,10.0000,10,0.0873,83.2157,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
172,SELENE CONSTRUCTIONS LIMITED,100000000,10.0000,10,0.0873,83.3030,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
173,SYLVANUS PROPERTIES LIMITED,100000000,10.0000,10,0.0873,83.3903,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
174,UPL LIMITED,100000000,10.0000,10,0.0873,83.4776,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
175,APCO INFRATECH PVT LTD  FORMERLY AP,100000000,10.0000,10,0.0873,83.5649,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
176,UTKAL ALUMINA INTERNATIONAL LTD,100000000,10.0000,10,0.0873,83.6521,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
177,MKK METAL SECTIONS P LTD,100000000,10.0000,10,0.0873,83.7394,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
178,CHANDRAJYOTI ESTATE DEVELOPERS PVT.,100000000,10.0000,10,0.0873,83.8267,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
179,J.K.CEMENT LTD.,100000000,10.0000,64,0.0873,83.9140,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
180,ORISSA METALIKS PVT LIMITED,100000000,10.0000,10,0.0873,84.0013,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
181,APCO INFRATECH PRIVATE LIMITED,100000000,10.0000,10,0.0873,84.0886,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
182,PPR M SAND LLP,100000000,10.0000,10,0.0873,84.1759,substring:LLP,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
183,SRICHAITANYA STUDENTS FACILITY MANAGEMENT PVT LTD,100000000,10.0000,10,0.0873,84.2632,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
184,SELMAR LAB PRIVATE LTD,100000000,10.0000,10,0.0873,84.3504,substring:PRIVATE,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
185,NAVAYUGA ENGINEERING CO LTD,100000000,10.0000,10,0.0873,84.4377,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
186,WELSPUN INDIA LIMITED,100000000,10.0000,10,0.0873,84.5250,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
187,BEST AGROLIFE LIMITED,100000000,10.0000,10,0.0873,84.6123,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
188,USV PRIVATE LTD ( FORMERLY USV LTD),100000000,10.0000,10,0.0873,84.6996,substring:PRIVATE,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
189,INORBIT MALLS INDIA PRIVATE LIMITED,100000000,10.0000,10,0.0873,84.7869,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
190,ABNLINVESTMENTLIMITED,100000000,10.0000,10,0.0873,84.8742,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
191,BIOXGREEN TECHNOLOGY PRIVATE LIMITE,100000000,10.0000,10,0.0873,84.9614,substring:PRIVATE,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
192,GOODLUCK  INDIA LIMITED,100000000,10.0000,19,0.0873,85.0487,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
193,PRESTIGE GARDEN ESTATES PRIVATE LIM,100000000,10.0000,10,0.0873,85.1360,substring:PRIVATE,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
194,PRESTIGE PROJECTS PVT LTD,100000000,10.0000,10,0.0873,85.2233,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
195,SUPER CYBERTECH PARK PRIVATE LIMITE,100000000,10.0000,10,0.0873,85.3106,substring:PRIVATE,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
196,KNR CONSTRUCTIONS LTD,100000000,10.0000,10,0.0873,85.3979,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
197,SHRI SHAMLAJI SALES PRIVATE LIMITED,100000000,10.0000,10,0.0873,85.4852,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
198,GVPR ENGINEERS LTD,100000000,10.0000,10,0.0873,85.5725,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
199,APCO INFRATECH PRIVATE LTD,100000000,10.0000,10,0.0873,85.6597,substring:PRIVATE,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
200,CYIENT LIMITED,100000000,10.0000,10,0.0873,85.7470,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
201,APL HEALTHCARE LIMITED,100000000,10.0000,10,0.0873,85.8343,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
202,SNEHA KINETIC POWER PROJECTS PVT LTD,100000000,10.0000,10,0.0873,85.9216,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
203,MSN LABORATORIES PVT LTD,100000000,10.0000,10,0.0873,86.0089,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
204,ACE URBAN DEVELOPERS PVT LTD,100000000,10.0000,10,0.0873,86.0962,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
205,BHARAT BIOTECH INTERNATIONAL LIMITED,100000000,10.0000,10,0.0873,86.1835,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
206,ENVIRO CONTROL PRIVATE LIMITED FORM,100000000,10.0000,10,0.0873,86.2708,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
207,TVS MOTOR COMPANY LIMITED,100000000,10.0000,10,0.0873,86.3580,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
208,GLENMARK PHARMACEUTICALS LTD,97500000,9.7500,21,0.0851,86.4432,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
209,MY HOME INFRASTRUCTURES PVT LTD MY,95000000,9.5000,14,0.0829,86.5261,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
210,SENGUPTA AND SENGUPTA PRIVATE LIMIT,92000000,9.2000,20,0.0803,86.6064,substring:PRIVATE,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
211,OM METALS DEVELOPERS (P) LTD.,90000000,9.0000,18,0.0786,86.6849,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
212,INDUSTRIAL TECHNO MAN POWER SUPPLY AND SERVICES PVT LTD,90000000,9.0000,9,0.0786,86.7635,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
213,HARDESH ORES PVT LTD,90000000,9.0000,9,0.0786,86.8421,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
214,VACMETINDIALIMITED,90000000,9.0000,9,0.0786,86.9206,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
215,MICHIGAN ENGINEERS PVT LTD,90000000,9.0000,9,0.0786,86.9992,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
216,MICRO LABS LTD,90000000,9.0000,9,0.0786,87.0777,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
217,RANJIT BUILDCON LIMITED,90000000,9.0000,9,0.0786,87.1563,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
218,KITEX CHILDRENSWEAR LTD,90000000,9.0000,9,0.0786,87.2348,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
219,ASKUS LOGISTICS PRIVATE LIMITED,90000000,9.0000,9,0.0786,87.3134,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
220,RIPLEY & CO STEVDORING & HANDLING PVT LT D,85000000,8.5000,31,0.0742,87.3876,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
221,YOGA BUILDERS PVT LTD,85000000,8.5000,13,0.0742,87.4618,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
222,SRI KUMARASWAMY MINERAL EXPORTS PR,83300000,8.3300,14,0.0727,87.5345,truncated:PR,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
223,SKP MERCHANTS LLP,80000000,8.0000,8,0.0698,87.6043,substring:LLP,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
224,PROCURE ADVISORY SERVICES PRIVATE LTD,80000000,8.0000,8,0.0698,87.6742,substring:PRIVATE,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
225,ORRISA METALIKS PVT LTD,80000000,8.0000,8,0.0698,87.7440,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
226,GREENKO ENERGY PROJECTS PRIVATE LTD,80000000,8.0000,8,0.0698,87.8138,substring:PRIVATE,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
227,AQ SQUARE REALTORS PRIVATE LIMITED,80000000,8.0000,8,0.0698,87.8837,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
228,UNIPRO TECHNO INFRASTRUCTURE PVT LTD,80000000,8.0000,8,0.0698,87.9535,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
229,COMFORT TRIMS PRIVATE LIMITED DIVIS,80000000,8.0000,8,0.0698,88.0233,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
230,THE PUNJAB BUSINESS SUPPLY COMPANY,78000000,7.8000,15,0.0681,88.0914,word:COMPANY,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
231,AJAY METALLOYS PVT LTD,75000000,7.5000,12,0.0655,88.1569,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
232,BESSEGGENINFOTECHLLP,75000000,7.5000,39,0.0655,88.2223,substring:LLP,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
233,CASTLE LIQUORS PRIVATE LIMITED,75000000,7.5000,75,0.0655,88.2878,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
234,CIPLA LTD,70000000,7.0000,7,0.0611,88.3489,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
235,TIVOLI PARK APARTMENTS PVT LTD,70000000,7.0000,7,0.0611,88.4100,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
236,SCAFFOLD PROPERTIES PVT LTD,70000000,7.0000,7,0.0611,88.4711,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
237,NUVOCO VISTAS CORPORATION LTD,70000000,7.0000,7,0.0611,88.5322,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
238,MOHIT MINERALS LIMITED,70000000,7.0000,7,0.0611,88.5933,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
239,SOMASILA SOLAR POWER LIMITED,70000000,7.0000,7,0.0611,88.6544,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
240,CAPACITE INFRAPROJECTS LTD,70000000,7.0000,7,0.0611,88.7155,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
241,MICRO LABS LIMITED,70000000,7.0000,7,0.0611,88.7766,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
242,ASISH FINANCE PRIVATE LIMITED,70000000,7.0000,25,0.0611,88.8377,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
243,ASKUS LOGISTICS PVT LTD,70000000,7.0000,7,0.0611,88.8988,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
244,ITC LIMITED,65575000,6.5575,46,0.0572,88.9560,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
245,DERIVE TRADING AND RESORTS PRIVATE LIMIT,65000000,6.5000,20,0.0567,89.0128,substring:PRIVATE,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
246,CAMELIA GRIHA NIRMAN PRIVATE LIMITED,65000000,6.5000,11,0.0567,89.0695,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
247,FORCE MOTORS LTD,63500000,6.3500,23,0.0554,89.1249,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
248,NANDI ENTERPRISES,61800000,6.1800,24,0.0539,89.1789,word:ENTERPRISES,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
249,CEAT LTD,60000000,6.0000,6,0.0524,89.2313,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
250,MAHALAXMI VIDYUT PVT.LTD.,60000000,6.0000,24,0.0524,89.2836,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
251,SHREE CEMENT LTD,60000000,6.0000,6,0.0524,89.3360,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
252,BALU CEMENT CORPORATION,60000000,6.0000,15,0.0524,89.3884,word:CORPORATION,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
253,EVEY TRANS PVT LTD,60000000,6.0000,6,0.0524,89.4408,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
